time,P,
20051110:2100,96.54,
20051110:2200,0,
20051110:2300,0,
20051111:0000,0,
20051111:0100,0,
20051111:0200,0,
20051111:0300,0,
20051111:0400,0,
20051111:0500,0,
20051111:0600,0,
20051111:0700,0,
20051111:0800,0,
20051111:0900,0,
20051111:1000,0,
20051111:1100,27.8,
20051111:1200,110.34,
20051111:1300,254.54,
20051111:1400,345.21,
20051111:1500,241.3,
20051111:1600,332.02,
20051111:1700,566.21,
20051111:1800,421.34,
20051111:1900,342.99,
20051111:2000,247.06,
20051111:2100,148.52,
20051111:2200,0,
20051111:2300,0,
20051112:0000,0,
20051112:0100,0,
20051112:0200,0,
20051112:0300,0,
20051112:0400,0,
20051112:0500,0,
20051112:0600,0,
20051112:0700,0,
20051112:0800,0,
20051112:0900,0,
20051112:1000,0,
20051112:1100,15.67,
20051112:1200,109.32,
20051112:1300,322.8,
20051112:1400,247.92,
20051112:1500,634.3,
20051112:1600,712.79,
20051112:1700,737.98,
20051112:1800,86.39,
20051112:1900,4.24,
20051112:2000,4.27,
20051112:2100,36.46,
20051112:2200,0,
20051112:2300,0,
20051113:0000,0,
20051113:0100,0,
20051113:0200,0,
20051113:0300,0,
20051113:0400,0,
20051113:0500,0,
20051113:0600,0,
20051113:0700,0,
20051113:0800,0,
20051113:0900,0,
20051113:1000,0,
20051113:1100,25.54,
20051113:1200,126.24,
20051113:1300,263.43,
20051113:1400,339.25,
20051113:1500,492.82,
20051113:1600,453.45,
20051113:1700,392.46,
20051113:1800,463.6,
20051113:1900,300.24,
20051113:2000,290.49,
20051113:2100,47.94,
20051113:2200,0,
20051113:2300,0,
20051114:0000,0,
20051114:0100,0,
20051114:0200,0,
20051114:0300,0,
20051114:0400,0,
20051114:0500,0,
20051114:0600,0,
20051114:0700,0,
20051114:0800,0,
20051114:0900,0,
20051114:1000,0,
20051114:1100,26.26,
20051114:1200,122.98,
20051114:1300,296.79,
20051114:1400,407.05,
20051114:1500,349.11,
20051114:1600,397.45,
20051114:1700,712.3,
20051114:1800,684.6,
20051114:1900,405.77,
20051114:2000,122.42,
20051114:2100,41.9,
20051114:2200,0,
20051114:2300,0,
20051115:0000,0,
20051115:0100,0,
20051115:0200,0,
20051115:0300,0,
20051115:0400,0,
20051115:0500,0,
20051115:0600,0,
20051115:0700,0,
20051115:0800,0,
20051115:0900,0,
20051115:1000,0,
20051115:1100,20.5,
20051115:1200,104.93,
20051115:1300,190.39,
20051115:1400,189.81,
20051115:1500,635.7,
20051115:1600,244.62,
20051115:1700,738.74,
20051115:1800,707.12,
20051115:1900,366.8,
20051115:2000,105.48,
20051115:2100,172.66,
20051115:2200,0,
20051115:2300,0,
20051116:0000,0,
20051116:0100,0,
20051116:0200,0,
20051116:0300,0,
20051116:0400,0,
20051116:0500,0,
20051116:0600,0,
20051116:0700,0,
20051116:0800,0,
20051116:0900,0,
20051116:1000,0,
20051116:1100,8.32,
20051116:1200,93.11,
20051116:1300,86.63,
20051116:1400,266.23,
20051116:1500,310.54,
20051116:1600,401.49,
20051116:1700,348.83,
20051116:1800,285.23,
20051116:1900,393.77,
20051116:2000,40.04,
20051116:2100,40.91,
20051116:2200,0,
20051116:2300,0,
20051117:0000,0,
20051117:0100,0,
20051117:0200,0,
20051117:0300,0,
20051117:0400,0,
20051117:0500,0,
20051117:0600,0,
20051117:0700,0,
20051117:0800,0,
20051117:0900,0,
20051117:1000,0,
20051117:1100,10.9,
20051117:1200,83.34,
20051117:1300,167.23,
20051117:1400,286.85,
20051117:1500,354.26,
20051117:1600,150.31,
20051117:1700,128.55,
20051117:1800,375.45,
20051117:1900,324.81,
20051117:2000,3.78,
20051117:2100,51.91,
20051117:2200,0,
20051117:2300,0,
20051118:0000,0,
20051118:0100,0,
20051118:0200,0,
20051118:0300,0,
20051118:0400,0,
20051118:0500,0,
20051118:0600,0,
20051118:0700,0,
20051118:0800,0,
20051118:0900,0,
20051118:1000,0,
20051118:1100,19.88,
20051118:1200,102.08,
20051118:1300,313.54,
20051118:1400,382.13,
20051118:1500,495.03,
20051118:1600,487.16,
20051118:1700,521.26,
20051118:1800,236.17,
20051118:1900,257.93,
20051118:2000,148.42,
20051118:2100,138.74,
20051118:2200,0,
20051118:2300,0,
20051119:0000,0,
20051119:0100,0,
20051119:0200,0,
20051119:0300,0,
20051119:0400,0,
20051119:0500,0,
20051119:0600,0,
20051119:0700,0,
20051119:0800,0,
20051119:0900,0,
20051119:1000,0,
20051119:1100,17.69,
20051119:1200,88.89,
20051119:1300,175.66,
20051119:1400,502.15,
20051119:1500,473.28,
20051119:1600,470.12,
20051119:1700,544.15,
20051119:1800,521.48,
20051119:1900,635.52,
20051119:2000,486.77,
20051119:2100,275.03,
20051119:2200,0,
20051119:2300,0,
20051120:0000,0,
20051120:0100,0,
20051120:0200,0,
20051120:0300,0,
20051120:0400,0,
20051120:0500,0,
20051120:0600,0,
20051120:0700,0,
20051120:0800,0,
20051120:0900,0,
20051120:1000,0,
20051120:1100,19.83,
20051120:1200,11.76,
20051120:1300,83.48,
20051120:1400,362.23,
20051120:1500,420.92,
20051120:1600,500.79,
20051120:1700,374.38,
20051120:1800,227.27,
20051120:1900,232.14,
20051120:2000,98.96,
20051120:2100,68.31,
20051120:2200,0,
20051120:2300,0,
20051121:0000,0,
20051121:0100,0,
20051121:0200,0,
20051121:0300,0,
20051121:0400,0,
20051121:0500,0,
20051121:0600,0,
20051121:0700,0,
20051121:0800,0,
20051121:0900,0,
20051121:1000,0,
20051121:1100,19.06,
20051121:1200,97.93,
20051121:1300,92.22,
20051121:1400,148.22,
20051121:1500,409.97,
20051121:1600,385.92,
20051121:1700,541.19,
20051121:1800,238.46,
20051121:1900,346.51,
20051121:2000,285.78,
20051121:2100,46.84,
20051121:2200,0,
20051121:2300,0,
20051122:0000,0,
20051122:0100,0,
20051122:0200,0,
20051122:0300,0,
20051122:0400,0,
20051122:0500,0,
20051122:0600,0,
20051122:0700,0,
20051122:0800,0,
20051122:0900,0,
20051122:1000,0,
20051122:1100,19.02,
20051122:1200,95.74,
20051122:1300,301.02,
20051122:1400,481.36,
20051122:1500,364.66,
20051122:1600,431.57,
20051122:1700,428,
20051122:1800,394.52,
20051122:1900,509.88,
20051122:2000,469.09,
20051122:2100,119.34,
20051122:2200,0,
20051122:2300,0,
20051123:0000,0,
20051123:0100,0,
20051123:0200,0,
20051123:0300,0,
20051123:0400,0,
20051123:0500,0,
20051123:0600,0,
20051123:0700,0,
20051123:0800,0,
20051123:0900,0,
20051123:1000,0,
20051123:1100,19.05,
20051123:1200,98.68,
20051123:1300,303.24,
20051123:1400,487.18,
20051123:1500,206.4,
20051123:1600,343.59,
20051123:1700,351.29,
20051123:1800,394.87,
20051123:1900,71.71,
20051123:2000,152.84,
20051123:2100,93.41,
20051123:2200,0,
20051123:2300,0,
20051124:0000,0,
20051124:0100,0,
20051124:0200,0,
20051124:0300,0,
20051124:0400,0,
20051124:0500,0,
20051124:0600,0,
20051124:0700,0,
20051124:0800,0,
20051124:0900,0,
20051124:1000,0,
20051124:1100,3.15,
20051124:1200,6.06,
20051124:1300,60.83,
20051124:1400,292.09,
20051124:1500,482.84,
20051124:1600,473.52,
20051124:1700,521.78,
20051124:1800,461.54,
20051124:1900,454.81,
20051124:2000,329.5,
20051124:2100,154.53,
20051124:2200,0,
20051124:2300,0,
20051125:0000,0,
20051125:0100,0,
20051125:0200,0,
20051125:0300,0,
20051125:0400,0,
20051125:0500,0,
20051125:0600,0,
20051125:0700,0,
20051125:0800,0,
20051125:0900,0,
20051125:1000,0,
20051125:1100,19.16,
20051125:1200,94.57,
20051125:1300,306.93,
20051125:1400,496.7,
20051125:1500,89.97,
20051125:1600,362.76,
20051125:1700,227.01,
20051125:1800,501.95,
20051125:1900,258.46,
20051125:2000,488.46,
20051125:2100,277.93,
20051125:2200,0,
20051125:2300,0,
20051126:0000,0,
20051126:0100,0,
20051126:0200,0,
20051126:0300,0,
20051126:0400,0,
20051126:0500,0,
20051126:0600,0,
20051126:0700,0,
20051126:0800,0,
20051126:0900,0,
20051126:1000,0,
20051126:1100,19.12,
20051126:1200,95.27,
20051126:1300,310.93,
20051126:1400,500.93,
20051126:1500,634.98,
20051126:1600,570.42,
20051126:1700,743.1,
20051126:1800,714.3,
20051126:1900,632.89,
20051126:2000,489.94,
20051126:2100,281.19,
20051126:2200,0,
20051126:2300,0,
20051127:0000,0,
20051127:0100,0,
20051127:0200,0,
20051127:0300,0,
20051127:0400,0,
20051127:0500,0,
20051127:0600,0,
20051127:0700,0,
20051127:0800,0,
20051127:0900,0,
20051127:1000,0,
20051127:1100,18.48,
20051127:1200,92.64,
20051127:1300,304.77,
20051127:1400,492.95,
20051127:1500,446.02,
20051127:1600,509.83,
20051127:1700,336.92,
20051127:1800,303.85,
20051127:1900,631.24,
20051127:2000,488.74,
20051127:2100,281.48,
20051127:2200,0,
20051127:2300,0,
20051128:0000,0,
20051128:0100,0,
20051128:0200,0,
20051128:0300,0,
20051128:0400,0,
20051128:0500,0,
20051128:0600,0,
20051128:0700,0,
20051128:0800,0,
20051128:0900,0,
20051128:1000,0,
20051128:1100,18.52,
20051128:1200,91.84,
20051128:1300,302.71,
20051128:1400,488.89,
20051128:1500,352.9,
20051128:1600,221.44,
20051128:1700,175.94,
20051128:1800,225.47,
20051128:1900,260.57,
20051128:2000,107.78,
20051128:2100,275.51,
20051128:2200,0,
20051128:2300,0,
20051129:0000,0,
20051129:0100,0,
20051129:0200,0,
20051129:0300,0,
20051129:0400,0,
20051129:0500,0,
20051129:0600,0,
20051129:0700,0,
20051129:0800,0,
20051129:0900,0,
20051129:1000,0,
20051129:1100,18.47,
20051129:1200,90.69,
20051129:1300,301.11,
20051129:1400,486.45,
20051129:1500,616.17,
20051129:1600,695.43,
20051129:1700,383.5,
20051129:1800,366.68,
20051129:1900,616.41,
20051129:2000,479.43,
20051129:2100,275.59,
20051129:2200,0,
20051129:2300,0,
20051130:0000,0,
20051130:0100,0,
20051130:0200,0,
20051130:0300,0,
20051130:0400,0,
20051130:0500,0,
20051130:0600,0,
20051130:0700,0,
20051130:0800,0,
20051130:0900,0,
20051130:1000,0,
20051130:1100,17.8,
20051130:1200,102.98,
20051130:1300,235.77,
20051130:1400,239.09,
20051130:1500,74.09,
20051130:1600,160.96,
20051130:1700,107.09,
20051130:1800,69.98,
20051130:1900,95.27,
20051130:2000,59.51,
20051130:2100,35.53,
20051130:2200,0,
20051130:2300,0,
20051201:0000,0,
20051201:0100,0,
20051201:0200,0,
20051201:0300,0,
20051201:0400,0,
20051201:0500,0,
20051201:0600,0,
20051201:0700,0,
20051201:0800,0,
20051201:0900,0,
20051201:1000,0,
20051201:1100,17.89,
20051201:1200,86.8,
20051201:1300,295.3,
20051201:1400,482.65,
20051201:1500,616.31,
20051201:1600,698.08,
20051201:1700,527.5,
20051201:1800,485.21,
20051201:1900,619.94,
20051201:2000,184.87,
20051201:2100,274.04,
20051201:2200,0,
20051201:2300,0,
20051202:0000,0,
20051202:0100,0,
20051202:0200,0,
20051202:0300,0,
20051202:0400,0,
20051202:0500,0,
20051202:0600,0,
20051202:0700,0,
20051202:0800,0,
20051202:0900,0,
20051202:1000,0,
20051202:1100,17.13,
20051202:1200,85.02,
20051202:1300,294.58,
20051202:1400,486.43,
20051202:1500,627.14,
20051202:1600,260.56,
20051202:1700,740.99,
20051202:1800,128.84,
20051202:1900,40.2,
20051202:2000,4.29,
20051202:2100,279.6,
20051202:2200,0,
20051202:2300,0,
20051203:0000,0,
20051203:0100,0,
20051203:0200,0,
20051203:0300,0,
20051203:0400,0,
20051203:0500,0,
20051203:0600,0,
20051203:0700,0,
20051203:0800,0,
20051203:0900,0,
20051203:1000,0,
20051203:1100,16.42,
20051203:1200,83.66,
20051203:1300,292.24,
20051203:1400,483.24,
20051203:1500,324.92,
20051203:1600,159.79,
20051203:1700,94.29,
20051203:1800,81.18,
20051203:1900,628.01,
20051203:2000,371.37,
20051203:2100,200.57,
20051203:2200,0,
20051203:2300,0,
20051204:0000,0,
20051204:0100,0,
20051204:0200,0,
20051204:0300,0,
20051204:0400,0,
20051204:0500,0,
20051204:0600,0,
20051204:0700,0,
20051204:0800,0,
20051204:0900,0,
20051204:1000,0,
20051204:1100,16.35,
20051204:1200,81.17,
20051204:1300,182.42,
20051204:1400,139.65,
20051204:1500,375.94,
20051204:1600,380.31,
20051204:1700,154.99,
20051204:1800,25.2,
20051204:1900,187.73,
20051204:2000,245.23,
20051204:2100,63.74,
20051204:2200,0,
20051204:2300,0,
20051205:0000,0,
20051205:0100,0,
20051205:0200,0,
20051205:0300,0,
20051205:0400,0,
20051205:0500,0,
20051205:0600,0,
20051205:0700,0,
20051205:0800,0,
20051205:0900,0,
20051205:1000,0,
20051205:1100,4.82,
20051205:1200,94.57,
20051205:1300,177.23,
20051205:1400,240.72,
20051205:1500,350.03,
20051205:1600,367.59,
20051205:1700,241.87,
20051205:1800,246.41,
20051205:1900,253.12,
20051205:2000,389.64,
20051205:2100,199.38,
20051205:2200,0,
20051205:2300,0,
20051206:0000,0,
20051206:0100,0,
20051206:0200,0,
20051206:0300,0,
20051206:0400,0,
20051206:0500,0,
20051206:0600,0,
20051206:0700,0,
20051206:0800,0,
20051206:0900,0,
20051206:1000,0,
20051206:1100,15.71,
20051206:1200,94.73,
20051206:1300,284.05,
20051206:1400,474.7,
20051206:1500,278.07,
20051206:1600,506.32,
20051206:1700,243.11,
20051206:1800,712.14,
20051206:1900,101.01,
20051206:2000,489.95,
20051206:2100,0.06,
20051206:2200,0,
20051206:2300,0,
20051207:0000,0,
20051207:0100,0,
20051207:0200,0,
20051207:0300,0,
20051207:0400,0,
20051207:0500,0,
20051207:0600,0,
20051207:0700,0,
20051207:0800,0,
20051207:0900,0,
20051207:1000,0,
20051207:1100,15.74,
20051207:1200,78.36,
20051207:1300,284.91,
20051207:1400,477.68,
20051207:1500,291.53,
20051207:1600,343.92,
20051207:1700,148.06,
20051207:1800,715.48,
20051207:1900,55.03,
20051207:2000,494.57,
20051207:2100,285.16,
20051207:2200,0,
20051207:2300,0,
20051208:0000,0,
20051208:0100,0,
20051208:0200,0,
20051208:0300,0,
20051208:0400,0,
20051208:0500,0,
20051208:0600,0,
20051208:0700,0,
20051208:0800,0,
20051208:0900,0,
20051208:1000,0,
20051208:1100,15.05,
20051208:1200,94.2,
20051208:1300,100.84,
20051208:1400,229.37,
20051208:1500,616.34,
20051208:1600,305.9,
20051208:1700,479.29,
20051208:1800,228.16,
20051208:1900,632.87,
20051208:2000,18.57,
20051208:2100,279.93,
20051208:2200,0,
20051208:2300,0,
20051209:0000,0,
20051209:0100,0,
20051209:0200,0,
20051209:0300,0,
20051209:0400,0,
20051209:0500,0,
20051209:0600,0,
20051209:0700,0,
20051209:0800,0,
20051209:0900,0,
20051209:1000,0,
20051209:1100,6.57,
20051209:1200,14.57,
20051209:1300,55.71,
20051209:1400,139.11,
20051209:1500,352.38,
20051209:1600,438.33,
20051209:1700,420.66,
20051209:1800,284.14,
20051209:1900,341.14,
20051209:2000,488.78,
20051209:2100,279.23,
20051209:2200,0,
20051209:2300,0,
20051210:0000,0,
20051210:0100,0,
20051210:0200,0,
20051210:0300,0,
20051210:0400,0,
20051210:0500,0,
20051210:0600,0,
20051210:0700,0,
20051210:0800,0,
20051210:0900,0,
20051210:1000,0,
20051210:1100,10.32,
20051210:1200,93.13,
20051210:1300,242.58,
20051210:1400,238.38,
20051210:1500,441.29,
20051210:1600,425.92,
20051210:1700,454.49,
20051210:1800,186.51,
20051210:1900,292.86,
20051210:2000,239.24,
20051210:2100,284.86,
20051210:2200,0,
20051210:2300,0,
20051211:0000,0,
20051211:0100,0,
20051211:0200,0,
20051211:0300,0,
20051211:0400,0,
20051211:0500,0,
20051211:0600,0,
20051211:0700,0,
20051211:0800,0,
20051211:0900,0,
20051211:1000,0,
20051211:1100,10.31,
20051211:1200,72.19,
20051211:1300,274.95,
20051211:1400,466.46,
20051211:1500,416.39,
20051211:1600,202.41,
20051211:1700,364.86,
20051211:1800,437.22,
20051211:1900,343.86,
20051211:2000,70.4,
20051211:2100,282,
20051211:2200,0,
20051211:2300,0,
20051212:0000,0,
20051212:0100,0,
20051212:0200,0,
20051212:0300,0,
20051212:0400,0,
20051212:0500,0,
20051212:0600,0,
20051212:0700,0,
20051212:0800,0,
20051212:0900,0,
20051212:1000,0,
20051212:1100,10.3,
20051212:1200,72.32,
20051212:1300,279.12,
20051212:1400,476.27,
20051212:1500,622.75,
20051212:1600,712.81,
20051212:1700,746.74,
20051212:1800,723.74,
20051212:1900,645.98,
20051212:2000,506.73,
20051212:2100,301.57,
20051212:2200,0,
20051212:2300,0,
20051213:0000,0,
20051213:0100,0,
20051213:0200,0,
20051213:0300,0,
20051213:0400,0,
20051213:0500,0,
20051213:0600,0,
20051213:0700,0,
20051213:0800,0,
20051213:0900,0,
20051213:1000,0,
20051213:1100,10.34,
20051213:1200,72.7,
20051213:1300,282.69,
20051213:1400,480.32,
20051213:1500,624.24,
20051213:1600,714.37,
20051213:1700,619.4,
20051213:1800,582.53,
20051213:1900,530.16,
20051213:2000,385.09,
20051213:2100,184.73,
20051213:2200,0,
20051213:2300,0,
20051214:0000,0,
20051214:0100,0,
20051214:0200,0,
20051214:0300,0,
20051214:0400,0,
20051214:0500,0,
20051214:0600,0,
20051214:0700,0,
20051214:0800,0,
20051214:0900,0,
20051214:1000,0,
20051214:1100,9.72,
20051214:1200,69.13,
20051214:1300,271.16,
20051214:1400,463.85,
20051214:1500,604.73,
20051214:1600,693.45,
20051214:1700,492.95,
20051214:1800,106.11,
20051214:1900,124.39,
20051214:2000,51.67,
20051214:2100,23.49,
20051214:2200,0,
20051214:2300,0,
20051215:0000,0,
20051215:0100,0,
20051215:0200,0,
20051215:0300,0,
20051215:0400,0,
20051215:0500,0,
20051215:0600,0,
20051215:0700,0,
20051215:0800,0,
20051215:0900,0,
20051215:1000,0,
20051215:1100,9.04,
20051215:1200,67.78,
20051215:1300,270.75,
20051215:1400,466.45,
20051215:1500,337.68,
20051215:1600,394.86,
20051215:1700,153.96,
20051215:1800,269.33,
20051215:1900,296.74,
20051215:2000,203.85,
20051215:2100,295.63,
20051215:2200,0,
20051215:2300,0,
20051216:0000,0,
20051216:0100,0,
20051216:0200,0,
20051216:0300,0,
20051216:0400,0,
20051216:0500,0,
20051216:0600,0,
20051216:0700,0,
20051216:0800,0,
20051216:0900,0,
20051216:1000,0,
20051216:1100,9.03,
20051216:1200,67.87,
20051216:1300,273.89,
20051216:1400,472.48,
20051216:1500,620.18,
20051216:1600,549.47,
20051216:1700,533.39,
20051216:1800,728.42,
20051216:1900,650.1,
20051216:2000,510.77,
20051216:2100,304.6,
20051216:2200,0,
20051216:2300,0,
20051217:0000,0,
20051217:0100,0,
20051217:0200,0,
20051217:0300,0,
20051217:0400,0,
20051217:0500,0,
20051217:0600,0,
20051217:0700,0,
20051217:0800,0,
20051217:0900,0,
20051217:1000,0,
20051217:1100,0.8,
20051217:1200,30.68,
20051217:1300,84.15,
20051217:1400,144.5,
20051217:1500,334.66,
20051217:1600,701.08,
20051217:1700,155.37,
20051217:1800,722.09,
20051217:1900,643.59,
20051217:2000,108.79,
20051217:2100,297.52,
20051217:2200,0,
20051217:2300,0,
20051218:0000,0,
20051218:0100,0,
20051218:0200,0,
20051218:0300,0,
20051218:0400,0,
20051218:0500,0,
20051218:0600,0,
20051218:0700,0,
20051218:0800,0,
20051218:0900,0,
20051218:1000,0,
20051218:1100,8.44,
20051218:1200,64.73,
20051218:1300,267.48,
20051218:1400,465.77,
20051218:1500,204.3,
20051218:1600,448.96,
20051218:1700,417.11,
20051218:1800,320.21,
20051218:1900,327.77,
20051218:2000,109.77,
20051218:2100,1.25,
20051218:2200,0,
20051218:2300,0,
20051219:0000,0,
20051219:0100,0,
20051219:0200,0,
20051219:0300,0,
20051219:0400,0,
20051219:0500,0,
20051219:0600,0,
20051219:0700,0,
20051219:0800,0,
20051219:0900,0,
20051219:1000,0,
20051219:1100,7.87,
20051219:1200,64.17,
20051219:1300,267.34,
20051219:1400,465.5,
20051219:1500,203.08,
20051219:1600,394.68,
20051219:1700,740.96,
20051219:1800,721.06,
20051219:1900,645.53,
20051219:2000,204.65,
20051219:2100,307.31,
20051219:2200,0,
20051219:2300,0,
20051220:0000,0,
20051220:0100,0,
20051220:0200,0,
20051220:0300,0,
20051220:0400,0,
20051220:0500,0,
20051220:0600,0,
20051220:0700,0,
20051220:0800,0,
20051220:0900,0,
20051220:1000,0,
20051220:1100,7.85,
20051220:1200,62.99,
20051220:1300,266.54,
20051220:1400,465.14,
20051220:1500,305.22,
20051220:1600,401.14,
20051220:1700,405.5,
20051220:1800,59.01,
20051220:1900,292.79,
20051220:2000,511.92,
20051220:2100,308.65,
20051220:2200,0,
20051220:2300,0,
20051221:0000,0,
20051221:0100,0,
20051221:0200,0,
20051221:0300,0,
20051221:0400,0,
20051221:0500,0,
20051221:0600,0,
20051221:0700,0,
20051221:0800,0,
20051221:0900,0,
20051221:1000,0,
20051221:1100,7.22,
20051221:1200,61.63,
20051221:1300,263.35,
20051221:1400,462,
20051221:1500,248.89,
20051221:1600,440.9,
20051221:1700,211.17,
20051221:1800,722.72,
20051221:1900,648.45,
20051221:2000,514.68,
20051221:2100,313.61,
20051221:2200,0,
20051221:2300,0,
20051222:0000,0,
20051222:0100,0,
20051222:0200,0,
20051222:0300,0,
20051222:0400,0,
20051222:0500,0,
20051222:0600,0,
20051222:0700,0,
20051222:0800,0,
20051222:0900,0,
20051222:1000,0,
20051222:1100,7.23,
20051222:1200,61.23,
20051222:1300,265.41,
20051222:1400,464.39,
20051222:1500,609.07,
20051222:1600,701.61,
20051222:1700,738.38,
20051222:1800,719.8,
20051222:1900,646.36,
20051222:2000,513.03,
20051222:2100,313.51,
20051222:2200,0,
20051222:2300,0,
20051223:0000,0,
20051223:0100,0,
20051223:0200,0,
20051223:0300,0,
20051223:0400,0,
20051223:0500,0,
20051223:0600,0,
20051223:0700,0,
20051223:0800,0,
20051223:0900,0,
20051223:1000,0,
20051223:1100,6.65,
20051223:1200,59.02,
20051223:1300,163.51,
20051223:1400,455.77,
20051223:1500,604,
20051223:1600,700.1,
20051223:1700,407.27,
20051223:1800,301.75,
20051223:1900,72.01,
20051223:2000,517.3,
20051223:2100,317.86,
20051223:2200,0,
20051223:2300,0,
20051224:0000,0,
20051224:0100,0,
20051224:0200,0,
20051224:0300,0,
20051224:0400,0,
20051224:0500,0,
20051224:0600,0,
20051224:0700,0,
20051224:0800,0,
20051224:0900,0,
20051224:1000,0,
20051224:1100,6.01,
20051224:1200,57.14,
20051224:1300,254.37,
20051224:1400,451.5,
20051224:1500,509.66,
20051224:1600,693.56,
20051224:1700,733.27,
20051224:1800,715.79,
20051224:1900,392.5,
20051224:2000,173.91,
20051224:2100,309.96,
20051224:2200,0,
20051224:2300,0,
20051225:0000,0,
20051225:0100,0,
20051225:0200,0,
20051225:0300,0,
20051225:0400,0,
20051225:0500,0,
20051225:0600,0,
20051225:0700,0,
20051225:0800,0,
20051225:0900,0,
20051225:1000,0,
20051225:1100,0,
20051225:1200,55.84,
20051225:1300,116.75,
20051225:1400,262.71,
20051225:1500,313.21,
20051225:1600,485.79,
20051225:1700,436.73,
20051225:1800,738.17,
20051225:1900,665.68,
20051225:2000,531.19,
20051225:2100,329.3,
20051225:2200,0,
20051225:2300,0,
20051226:0000,0,
20051226:0100,0,
20051226:0200,0,
20051226:0300,0,
20051226:0400,0,
20051226:0500,0,
20051226:0600,0,
20051226:0700,0,
20051226:0800,0,
20051226:0900,0,
20051226:1000,0,
20051226:1100,3.73,
20051226:1200,79.85,
20051226:1300,190.56,
20051226:1400,211.9,
20051226:1500,222.69,
20051226:1600,441.75,
20051226:1700,474.88,
20051226:1800,38.44,
20051226:1900,26.41,
20051226:2000,51.86,
20051226:2100,44.85,
20051226:2200,0,
20051226:2300,0,
20051227:0000,0,
20051227:0100,0,
20051227:0200,0,
20051227:0300,0,
20051227:0400,0,
20051227:0500,0,
20051227:0600,0,
20051227:0700,0,
20051227:0800,0,
20051227:0900,0,
20051227:1000,0,
20051227:1100,5.41,
20051227:1200,56.18,
20051227:1300,258.98,
20051227:1400,460.3,
20051227:1500,607.53,
20051227:1600,701.44,
20051227:1700,738.49,
20051227:1800,721.06,
20051227:1900,652.98,
20051227:2000,524.37,
20051227:2100,327.68,
20051227:2200,0,
20051227:2300,0,
20051228:0000,0,
20051228:0100,0,
20051228:0200,0,
20051228:0300,0,
20051228:0400,0,
20051228:0500,0,
20051228:0600,0,
20051228:0700,0,
20051228:0800,0,
20051228:0900,0,
20051228:1000,0,
20051228:1100,5.47,
20051228:1200,54.75,
20051228:1300,254,
20051228:1400,452.6,
20051228:1500,600.58,
20051228:1600,696.03,
20051228:1700,735.93,
20051228:1800,720.57,
20051228:1900,364.26,
20051228:2000,521.6,
20051228:2100,326.35,
20051228:2200,0,
20051228:2300,0,
20051229:0000,0,
20051229:0100,0,
20051229:0200,0,
20051229:0300,0,
20051229:0400,0,
20051229:0500,0,
20051229:0600,0,
20051229:0700,0,
20051229:0800,0,
20051229:0900,0,
20051229:1000,0,
20051229:1100,4.87,
20051229:1200,53.78,
20051229:1300,253.65,
20051229:1400,455.8,
20051229:1500,606.1,
20051229:1600,521.7,
20051229:1700,249.84,
20051229:1800,240.25,
20051229:1900,125.2,
20051229:2000,527.2,
20051229:2100,330.09,
20051229:2200,0,
20051229:2300,0,
20051230:0000,0,
20051230:0100,0,
20051230:0200,0,
20051230:0300,0,
20051230:0400,0,
20051230:0500,0,
20051230:0600,0,
20051230:0700,0,
20051230:0800,0,
20051230:0900,0,
20051230:1000,0,
20051230:1100,4.3,
20051230:1200,73.74,
20051230:1300,249.89,
20051230:1400,450.94,
20051230:1500,601.54,
20051230:1600,698.63,
20051230:1700,738.63,
20051230:1800,722.88,
20051230:1900,136.81,
20051230:2000,297.37,
20051230:2100,327.84,
20051230:2200,0,
20051230:2300,0,
20051231:0000,0,
20051231:0100,0,
20051231:0200,0,
20051231:0300,0,
20051231:0400,0,
20051231:0500,0,
20051231:0600,0,
20051231:0700,0,
20051231:0800,0,
20051231:0900,0,
20051231:1000,0,
20051231:1100,4.28,
20051231:1200,50.53,
20051231:1300,247.7,
20051231:1400,451.31,
20051231:1500,605.83,
20051231:1600,706.48,
20051231:1700,749.29,
20051231:1800,735.33,
20051231:1900,665.58,
20051231:2000,533.77,
20051231:2100,337.68,
20051231:2200,0,
20051231:2300,0,
20060101:0000,0,
20060101:0100,0,
20060101:0200,0,
20060101:0300,0,
20060101:0400,0,
20060101:0500,0,
20060101:0600,0,
20060101:0700,0,
20060101:0800,0,
20060101:0900,0,
20060101:1000,0,
20060101:1100,4.31,
20060101:1200,53.95,
20060101:1300,244.88,
20060101:1400,445.24,
20060101:1500,596.65,
20060101:1600,374.8,
20060101:1700,736.36,
20060101:1800,301.29,
20060101:1900,374.49,
20060101:2000,175.56,
20060101:2100,315.12,
20060101:2200,0,
20060101:2300,0,
20060102:0000,0,
20060102:0100,0,
20060102:0200,0,
20060102:0300,0,
20060102:0400,0,
20060102:0500,0,
20060102:0600,0,
20060102:0700,0,
20060102:0800,0,
20060102:0900,0,
20060102:1000,0,
20060102:1100,2.68,
20060102:1200,18.19,
20060102:1300,87.96,
20060102:1400,178.75,
20060102:1500,121.83,
20060102:1600,283.32,
20060102:1700,187.18,
20060102:1800,138.49,
20060102:1900,15.18,
20060102:2000,51.76,
20060102:2100,57.51,
20060102:2200,0,
20060102:2300,0,
20060103:0000,0,
20060103:0100,0,
20060103:0200,0,
20060103:0300,0,
20060103:0400,0,
20060103:0500,0,
20060103:0600,0,
20060103:0700,0,
